,Accuracy,F1-Score,Precision,Recall
0,0.7872973862244785,0.7696038331620805,0.8416750718732222,0.7118191521976852
1,0.8552275950279137,0.838967944452633,0.9463712823344241,0.7547069813227865
2,0.8649421147296978,0.8497801634941735,0.9602916020764549,0.7646829802432671
3,0.8665608907454037,0.8499877364364761,0.9679212431628359,0.7603015095102315
4,0.8703008999926762,0.8562122396618743,0.9602607583862536,0.773466313413817
5,0.8664385172305851,0.8487230718636518,0.9760576639551489,0.752344234480226
6,0.8628953394813393,0.848141304405462,0.9552544908834897,0.7656619742386102
7,0.8572287645128369,0.8420644360764774,0.9477619839497853,0.7628522464982048
8,0.8683726305357327,0.8553995644735238,0.9518401703012589,0.7777849530216119
9,0.8440769578951614,0.8346698120581525,0.9102666537953608,0.7800375564233043
